cat;кот;котка
dog;собака;сабака
house;дом;дом
tree;дерево;дрэва
car;машина;машына
book;книга;кніга
apple;яблоко;яблык
table;стол;стол
chair;стул;крэсла
window;окно;акно
water;вода;вада
sun;солнце;сонца
moon;луна;месяц
star;звезда;зорка
pen;ручка;асадка
pencil;карандаш;алове
school;школа;школа
teacher;учитель;настаўнік
student;студент;студэнт
computer;компьютер;камп'ютар
phone;телефон;тэлефон
music;музыка;музыка
picture;картина;малюнак
flower;цветок;кветка
bird;птица;птушка
fish;рыба;рыба
bread;хлеб;хлеб
milk;молоко;малако
river;река;рака
mountain;гора;гара
